replicate,model,model_label,n_train,n_test,roc_auc,f1,accuracy,precision,recall,brier,ece
70,orig_quality_pa,Original: Quality + PA,355,165,0.9293511218920558,0.9037037037037037,0.9212121212121213,0.9104477611940298,0.8970588235294118,0.07079606789630975,0.06705185145621743
70,compressed,Compressed Derived,355,165,0.9252577319587628,0.9037037037037037,0.9212121212121213,0.9104477611940298,0.8970588235294118,0.0790351134889734,0.06897477572262847
70,enhanced,Compressed + Interaction,355,165,0.9251061249241964,0.9037037037037037,0.9212121212121213,0.9104477611940298,0.8970588235294118,0.0762031986751665,0.0549351595090381
71,orig_quality_hr,Original: Quality + HR,339,151,0.9577315208156331,0.9333333333333333,0.9602649006622517,0.9130434782608695,0.9545454545454546,0.05043677097243088,0.07609316147164584
71,orig_sleep_pa,Original: Sleep + PA,339,151,0.9540144435004247,0.9090909090909091,0.9470198675496688,0.9090909090909091,0.9090909090909091,0.058943679134041256,0.09226814758778487
71,orig_sleep_hr,Original: Sleep + HR,339,151,0.9574129141886152,0.9333333333333333,0.9602649006622517,0.9130434782608695,0.9545454545454546,0.05194732248704022,0.07592565026363574
71,orig_quality_pa,Original: Quality + PA,339,151,0.9583687340696687,0.9333333333333333,0.9602649006622517,0.9130434782608695,0.9545454545454546,0.055812489384041826,0.08688376800801192
71,compressed,Compressed Derived,339,151,0.9551826677994902,0.9333333333333333,0.9602649006622517,0.9130434782608695,0.9545454545454546,0.057523314679383,0.07640160666729917
71,enhanced,Compressed + Interaction,339,151,0.9551826677994902,0.9333333333333333,0.9602649006622517,0.9130434782608695,0.9545454545454546,0.05498004711315364,0.07141582106267357
72,orig_quality_hr,Original: Quality + HR,384,140,0.9525413349663197,0.9090909090909091,0.9142857142857143,0.9523809523809523,0.8695652173913043,0.07807850112731933,0.1034761461071863
72,orig_sleep_pa,Original: Sleep + PA,384,140,0.960093896713615,0.9090909090909091,0.9142857142857143,0.9523809523809523,0.8695652173913043,0.08388413619485133,0.10609083077257254
72,orig_sleep_hr,Original: Sleep + HR,384,140,0.958256787099408,0.9090909090909091,0.9142857142857143,0.9523809523809523,0.8695652173913043,0.08331703178252403,0.09789943963154717
72,orig_quality_pa,Original: Quality + PA,384,140,0.9458052663808941,0.9090909090909091,0.9142857142857143,0.9523809523809523,0.8695652173913043,0.0784299353557826,0.08494762595931415
72,compressed,Compressed Derived,384,140,0.9496836088997755,0.9090909090909091,0.9142857142857143,0.9523809523809523,0.8695652173913043,0.0804271064277735,0.10848971851141855
72,enhanced,Compressed + Interaction,384,140,0.9509083486425802,0.9090909090909091,0.9142857142857143,0.9523809523809523,0.8695652173913043,0.07835734895935233,0.10554032109625866
73,orig_quality_hr,Original: Quality + HR,380,133,0.9321686746987953,0.8952380952380953,0.9172932330827067,0.8545454545454545,0.94,0.07816766139269067,0.07599447757898183
73,orig_sleep_pa,Original: Sleep + PA,380,133,0.9333734939759036,0.8737864077669902,0.9022556390977443,0.8490566037735849,0.9,0.08116360104693435,0.07893054525308507
73,orig_sleep_hr,Original: Sleep + HR,380,133,0.9343373493975904,0.8952380952380953,0.9172932330827067,0.8545454545454545,0.94,0.08157753099431417,0.07466479688895564
73,orig_quality_pa,Original: Quality + PA,380,133,0.9326506024096386,0.8952380952380953,0.9172932330827067,0.8545454545454545,0.94,0.07557270424529255,0.06440214928852761
73,compressed,Compressed Derived,380,133,0.9313253012048193,0.8952380952380953,0.9172932330827067,0.8545454545454545,0.94,0.08013124323536538,0.07544334112288019
73,enhanced,Compressed + Interaction,380,133,0.9322891566265059,0.8952380952380953,0.9172932330827067,0.8545454545454545,0.94,0.08118711832887551,0.07286979227308307
74,orig_quality_hr,Original: Quality + HR,446,104,0.9751479289940829,0.925,0.9423076923076923,0.9024390243902439,0.9487179487179487,0.050931477412315955,0.08390709788593056
74,orig_sleep_pa,Original: Sleep + PA,446,104,0.9717948717948719,0.9135802469135802,0.9326923076923077,0.8809523809523809,0.9487179487179487,0.05763172687758723,0.08337885489372886
74,orig_sleep_hr,Original: Sleep + HR,446,104,0.9800788954635109,0.925,0.9423076923076923,0.9024390243902439,0.9487179487179487,0.05371005796873747,0.07899999552586871
74,orig_quality_pa,Original: Quality + PA,446,104,0.9751479289940829,0.925,0.9423076923076923,0.9024390243902439,0.9487179487179487,0.0527928563801074,0.08476558909514018
74,compressed,Compressed Derived,446,104,0.9749506903353057,0.925,0.9423076923076923,0.9024390243902439,0.9487179487179487,0.054497507034847965,0.0873136976173764
74,enhanced,Compressed + Interaction,446,104,0.9749506903353057,0.9135802469135802,0.9326923076923077,0.8809523809523809,0.9487179487179487,0.05711638620661204,0.07325370259993713
75,orig_quality_hr,Original: Quality + HR,378,129,0.9004371053909666,0.8703703703703703,0.8914728682170543,0.94,0.8103448275862069,0.0943546209195611,0.07570673652200266
75,orig_sleep_pa,Original: Sleep + PA,378,129,0.8969159786304031,0.8703703703703703,0.8914728682170543,0.94,0.8103448275862069,0.10026762255133774,0.07115843777351115
75,orig_sleep_hr,Original: Sleep + HR,378,129,0.898615832928606,0.8703703703703703,0.8914728682170543,0.94,0.8103448275862069,0.09778769318973236,0.08501451314459564
75,orig_quality_pa,Original: Quality + PA,378,129,0.8916949975716367,0.8703703703703703,0.8914728682170543,0.94,0.8103448275862069,0.09569678435470995,0.06988515984514918
