repeat,fold,scoring,model,model_label,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
3,2,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9519879969992499,0.9206349206349206,0.9324324324324325,0.90625,0.9354838709677419,0.06354807086287048,0.0893718640548967
3,2,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9504876219054764,0.9206349206349206,0.9324324324324325,0.90625,0.9354838709677419,0.07461237963711531,0.10728495523576288
3,2,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9534883720930233,0.9206349206349206,0.9324324324324325,0.90625,0.9354838709677419,0.07086878413726203,0.09807895713572816
3,2,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9519879969992497,0.9206349206349206,0.9324324324324325,0.90625,0.9354838709677419,0.06536507948861403,0.09275762036961757
3,2,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9546136534133534,0.9206349206349206,0.9324324324324325,0.90625,0.9354838709677419,0.06965798236125344,0.09027306185027556
3,2,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9531132783195799,0.9206349206349206,0.9324324324324325,0.90625,0.9354838709677419,0.06716867704187188,0.070618697536919
3,3,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9666166541635409,0.9310344827586207,0.9459459459459459,1.0,0.8709677419354839,0.05251488389918209,0.11135439435813393
3,3,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9718679669917479,0.9310344827586207,0.9459459459459459,1.0,0.8709677419354839,0.06162378748195525,0.12098257121059128
3,3,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.971867966991748,0.9310344827586207,0.9459459459459459,1.0,0.8709677419354839,0.05651358731271581,0.11161904601848657
3,3,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.966616654163541,0.9310344827586207,0.9459459459459459,1.0,0.8709677419354839,0.05470333354466105,0.11517135915190162
3,3,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9681170292573145,0.9310344827586207,0.9459459459459459,1.0,0.8709677419354839,0.05445402634857628,0.10675321990783661
3,3,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9681170292573145,0.9310344827586207,0.9459459459459459,1.0,0.8709677419354839,0.05374525110795444,0.10473731657934897
3,4,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9197214076246334,0.8709677419354839,0.8933333333333333,0.8709677419354839,0.8709677419354839,0.08516083726059151,0.08815881342311904
3,4,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,1.0,None,0.9197214076246334,0.8709677419354839,0.8933333333333333,0.8709677419354839,0.8709677419354839,0.08683840140138865,0.05961621187296944
3,4,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9189882697947214,0.8709677419354839,0.8933333333333333,0.8709677419354839,0.8709677419354839,0.08796183629770164,0.07677294390898437
3,4,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.9211876832844574,0.8709677419354839,0.8933333333333333,0.8709677419354839,0.8709677419354839,0.07719244195544213,0.053054487357662355
3,4,neg_log_loss,compressed,Compressed Derived,0.1,None,0.9153225806451613,0.8709677419354839,0.8933333333333333,0.8709677419354839,0.8709677419354839,0.0867383607615475,0.10232825742424247
3,4,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9153225806451613,0.8709677419354839,0.8933333333333333,0.8709677419354839,0.8709677419354839,0.08576826796403224,0.09277005441437078
3,5,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.8315412186379928,0.7796610169491526,0.8289473684210527,0.8214285714285714,0.7419354838709677,0.14028929644951169,0.10029783403405018
3,5,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,1.0,None,0.8200716845878135,0.819672131147541,0.8552631578947368,0.8333333333333334,0.8064516129032258,0.14245463717724757,0.1312458370674557
3,5,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.8279569892473118,0.819672131147541,0.8552631578947368,0.8333333333333334,0.8064516129032258,0.1304201131033377,0.11293242049008456
3,5,neg_log_loss,orig_quality_pa,Original: Quality + PA,1.0,None,0.8315412186379928,0.7796610169491526,0.8289473684210527,0.8214285714285714,0.7419354838709677,0.14014962499476413,0.10207281187252398
3,5,neg_log_loss,compressed,Compressed Derived,0.1,None,0.8501792114695339,0.819672131147541,0.8552631578947368,0.8333333333333334,0.8064516129032258,0.13066563898959446,0.05938305349710507
3,5,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.8487455197132616,0.819672131147541,0.8552631578947368,0.8333333333333334,0.8064516129032258,0.13070443299065077,0.05874105127724506
4,1,neg_log_loss,orig_quality_hr,Original: Quality + HR,1.0,None,0.9494134897360704,0.90625,0.92,0.8787878787878788,0.9354838709677419,0.08015986878344199,0.0335442552603987
4,1,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9538123167155425,0.8923076923076924,0.9066666666666666,0.8529411764705882,0.9354838709677419,0.07729991410187907,0.04489681787785129
4,1,neg_log_loss,orig_sleep_hr,Original: Sleep + HR,0.1,None,0.9648093841642228,0.8923076923076924,0.9066666666666666,0.8529411764705882,0.9354838709677419,0.07476400706923209,0.05425346865491602
4,1,neg_log_loss,orig_quality_pa,Original: Quality + PA,0.1,None,0.9508797653958945,0.8923076923076924,0.9066666666666666,0.8529411764705882,0.9354838709677419,0.0783799694446099,0.033147652026967525
4,1,neg_log_loss,compressed,Compressed Derived,1.0,None,0.936217008797654,0.90625,0.92,0.8787878787878788,0.9354838709677419,0.07868631810073635,0.04712545549093042
4,1,neg_log_loss,enhanced,Compressed + Interaction,0.1,None,0.9596774193548386,0.8923076923076924,0.9066666666666666,0.8529411764705882,0.9354838709677419,0.07508371348022021,0.05051477899664521
4,2,neg_log_loss,orig_quality_hr,Original: Quality + HR,0.1,None,0.9711177794448612,0.9375,0.9459459459459459,0.9090909090909091,0.967741935483871,0.06212620699198845,0.14198740781857547
4,2,neg_log_loss,orig_sleep_pa,Original: Sleep + PA,0.1,None,0.9673668417104276,0.9090909090909091,0.918918918918919,0.8571428571428571,0.967741935483871,0.06845312464829154,0.11418452034157359
