replicate,model,model_label,n_train,n_test,best_c,best_weight,roc_auc,f1,accuracy,precision,recall,brier,ece
48,orig_quality_hr,Original: Quality + HR,338,163,10.0,balanced,0.927665357897916,0.9404761904761905,0.9386503067484663,0.9634146341463414,0.9186046511627907,0.0758986287581748,0.10447318814864649
48,orig_sleep_pa,Original: Sleep + PA,338,163,1.0,None,0.9355179704016914,0.8734177215189873,0.8773006134969326,0.9583333333333334,0.8023255813953488,0.11403968002170163,0.1649766176201652
48,orig_sleep_hr,Original: Sleep + HR,338,163,1.0,balanced,0.9267592872244036,0.9294117647058824,0.9263803680981595,0.9404761904761905,0.9186046511627907,0.08586824150836854,0.1070560096833344
48,orig_quality_pa,Original: Quality + PA,338,163,10.0,balanced,0.9284204167925098,0.9012345679012346,0.901840490797546,0.9605263157894737,0.8488372093023255,0.08486480536960508,0.10685794404734145
48,compressed,Compressed Derived,338,163,1.0,None,0.9262307459981879,0.9404761904761905,0.9386503067484663,0.9634146341463414,0.9186046511627907,0.08231687342404753,0.11995930670812284
48,enhanced,Compressed + Interaction,338,163,0.1,balanced,0.9239655693144065,0.9294117647058824,0.9263803680981595,0.9404761904761905,0.9186046511627907,0.0799496394197752,0.09743249745213632
49,orig_quality_hr,Original: Quality + HR,374,120,0.1,None,0.9361045828437132,0.8723404255319149,0.9,0.8541666666666666,0.8913043478260869,0.07790922224670312,0.052132354769935954
49,orig_sleep_pa,Original: Sleep + PA,374,120,1.0,None,0.9488836662749707,0.8478260869565217,0.8833333333333333,0.8478260869565217,0.8478260869565217,0.09250595999619528,0.03718228179875791
49,orig_sleep_hr,Original: Sleep + HR,374,120,0.1,None,0.9430082256169213,0.8478260869565217,0.8833333333333333,0.8478260869565217,0.8478260869565217,0.0851055335459925,0.06309914608496194
49,orig_quality_pa,Original: Quality + PA,374,120,0.1,None,0.9457990599294946,0.8478260869565217,0.8833333333333333,0.8478260869565217,0.8478260869565217,0.0785034028363096,0.06039873238506613
49,compressed,Compressed Derived,374,120,1.0,None,0.9289071680376029,0.8571428571428571,0.8916666666666667,0.8666666666666667,0.8478260869565217,0.08162604506134893,0.05472295009904793
